date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:11:42	66652/66652	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Apr%202023%2023:11:41%20GMT	https://www.fitnessfirst.co.uk/fitness-classes	C:/My%20Web%20Sites/NEW/www.fitnessfirst.co.uk/fitness-classes.html	(from )
02:11:42	335/335	---MCZ	200	added ('OK')	text/plain	date:Sat,%2015%20Apr%202023%2023:11:42%20GMT	https://www.fitnessfirst.co.uk/robots.txt		(from )
02:11:43	6351/6351	---M--	200	added ('OK')	image/png	etag:%221d7e068c9f1abcf%22	https://www.fitnessfirst.co.uk/images/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/NEW/www.fitnessfirst.co.uk/images/favicons/apple-touch-icon.png	(from https://www.fitnessfirst.co.uk/fitness-classes)
02:11:44	1294/1294	---M--	200	added ('OK')	image/png	etag:%221d7e068c9f1b60e%22	https://www.fitnessfirst.co.uk/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/NEW/www.fitnessfirst.co.uk/images/favicons/favicon-32x32.png	(from https://www.fitnessfirst.co.uk/fitness-classes)
02:11:45	6765/6765	---M--	200	added ('OK')	image/png	etag:%221d7e068c9f1a96d%22	https://www.fitnessfirst.co.uk/images/favicons/android-chrome-192x192.png	C:/My%20Web%20Sites/NEW/www.fitnessfirst.co.uk/images/favicons/android-chrome-192x192.png	(from https://www.fitnessfirst.co.uk/fitness-classes)
02:11:46	831/831	---M--	200	added ('OK')	image/png	etag:%221d7e068c9f1b03f%22	https://www.fitnessfirst.co.uk/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/NEW/www.fitnessfirst.co.uk/images/favicons/favicon-16x16.png	(from https://www.fitnessfirst.co.uk/fitness-classes)
02:11:47	368/368	---MCZ	200	added ('OK')	application/json	etag:%221d7e068c9f1b270%22	https://www.fitnessfirst.co.uk/images/favicons/webmanifest.json	C:/My%20Web%20Sites/NEW/www.fitnessfirst.co.uk/images/favicons/webmanifest.json	(from https://www.fitnessfirst.co.uk/fitness-classes)
02:11:47	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2023:11:46%20GMT	https://www.fitnessfirst.co.uk/images/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/NEW/www.fitnessfirst.co.uk/images/favicons/safari-pinned-tab.6.delayed	(from https://www.fitnessfirst.co.uk/fitness-classes)
02:11:48	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%221d8ead33f64f56e%22	https://www.fitnessfirst.co.uk/images/favicons/favicon.ico	C:/My%20Web%20Sites/NEW/www.fitnessfirst.co.uk/images/favicons/favicon.ico	(from https://www.fitnessfirst.co.uk/fitness-classes)
02:11:49	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2023:11:48%20GMT	https://www.fitnessfirst.co.uk/favicons/mstile-144x144.png	C:/My%20Web%20Sites/NEW/www.fitnessfirst.co.uk/favicons/mstile-144x144.8.delayed	(from https://www.fitnessfirst.co.uk/fitness-classes)
02:11:50	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2023:11:49%20GMT	https://www.fitnessfirst.co.uk/favicons/browserconfig.xml	C:/My%20Web%20Sites/NEW/www.fitnessfirst.co.uk/favicons/browserconfig.9.delayed	(from https://www.fitnessfirst.co.uk/fitness-classes)
